JUGADOR: a                  
Ganador: Maquina   
Puntaje de a: 7
Puntaje de Maquina: 12
Listado de turnos:
Turno: 001	Carta Jugada: -1     	Jugador: Maquina            
Turno: 002	Carta Jugada: +2     	Jugador: a                  
Turno: 002	Carta Jugada: +1     	Jugador: Maquina            
Turno: 003	Carta Jugada: Repite 	Jugador: a                  
Turno: 003	Carta Jugada: +1     	Jugador: a                  
Turno: 004	Carta Jugada: -2     	Jugador: Maquina            
Turno: 004	Carta Jugada: Espejo 	Jugador: a                  
Turno: 005	Carta Jugada: -1     	Jugador: Maquina            
Turno: 005	Carta Jugada: Repite 	Jugador: a                  
Turno: 006	Carta Jugada: Espejo 	Jugador: a                  
Turno: 006	Carta Jugada: -1     	Jugador: Maquina            
Turno: 007	Carta Jugada: -2     	Jugador: a                  
Turno: 007	Carta Jugada: +1     	Jugador: Maquina            
Turno: 008	Carta Jugada: -1     	Jugador: a                  
Turno: 008	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 009	Carta Jugada: -1     	Jugador: Maquina            
Turno: 009	Carta Jugada: -2     	Jugador: a                  
Turno: 010	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 010	Carta Jugada: +2     	Jugador: a                  
Turno: 011	Carta Jugada: +1     	Jugador: Maquina            
Turno: 011	Carta Jugada: -1     	Jugador: a                  
Turno: 012	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 012	Carta Jugada: +1     	Jugador: a                  
Turno: 013	Carta Jugada: +1     	Jugador: Maquina            
Turno: 013	Carta Jugada: -2     	Jugador: a                  
Turno: 014	Carta Jugada: +2     	Jugador: Maquina            
Turno: 014	Carta Jugada: +2     	Jugador: a                  
Turno: 015	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 015	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 016	Carta Jugada: -1     	Jugador: Maquina            
Turno: 016	Carta Jugada: +2     	Jugador: a                  
Turno: 017	Carta Jugada: -1     	Jugador: Maquina            
Turno: 017	Carta Jugada: +1     	Jugador: a                  
Turno: 018	Carta Jugada: +1     	Jugador: Maquina            
Turno: 018	Carta Jugada: +1     	Jugador: a                  
