JUGADOR: jugador            
Ganador: jugador   
Puntaje de jugador: 12
Puntaje de Maquina: 6
Listado de turnos:
Turno: 001	Carta Jugada: +1     	Jugador: jugador            
Turno: 002	Carta Jugada: +1     	Jugador: Maquina            
Turno: 002	Carta Jugada: +1     	Jugador: jugador            
Turno: 003	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 003	Carta Jugada: +1     	Jugador: Maquina            
Turno: 004	Carta Jugada: Repite 	Jugador: jugador            
Turno: 004	Carta Jugada: -1     	Jugador: jugador            
Turno: 005	Carta Jugada: +2     	Jugador: Maquina            
Turno: 005	Carta Jugada: +1     	Jugador: jugador            
Turno: 006	Carta Jugada: +2     	Jugador: Maquina            
Turno: 006	Carta Jugada: +1     	Jugador: jugador            
Turno: 007	Carta Jugada: +1     	Jugador: Maquina            
Turno: 007	Carta Jugada: Repite 	Jugador: jugador            
Turno: 008	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 008	Carta Jugada: +2     	Jugador: Maquina            
Turno: 009	Carta Jugada: -1     	Jugador: jugador            
Turno: 009	Carta Jugada: -1     	Jugador: Maquina            
Turno: 010	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 010	Carta Jugada: -1     	Jugador: Maquina            
Turno: 011	Carta Jugada: Repite 	Jugador: jugador            
Turno: 011	Carta Jugada: Repite 	Jugador: jugador            
Turno: 012	Carta Jugada: +1     	Jugador: jugador            
Turno: 012	Carta Jugada: -1     	Jugador: Maquina            
Turno: 013	Carta Jugada: -2     	Jugador: jugador            
Turno: 013	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 014	Carta Jugada: +2     	Jugador: jugador            
Turno: 014	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 015	Carta Jugada: +2     	Jugador: jugador            
Turno: 015	Carta Jugada: -1     	Jugador: Maquina            
Turno: 016	Carta Jugada: Repite 	Jugador: jugador            
Turno: 016	Carta Jugada: -2     	Jugador: jugador            
Turno: 017	Carta Jugada: -2     	Jugador: Maquina            
Turno: 017	Carta Jugada: -2     	Jugador: jugador            
Turno: 018	Carta Jugada: +2     	Jugador: Maquina            
Turno: 018	Carta Jugada: -1     	Jugador: jugador            
Turno: 019	Carta Jugada: -2     	Jugador: Maquina            
Turno: 019	Carta Jugada: +1     	Jugador: jugador            
